Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
Henriques J.C.C.; Gato L.M.C.; La Sala V.; Carrelhas A.A.D.,"Henriques, J.C.C. (36173947400); Gato, L.M.C. (7004360885); La Sala, V. (57356211300); Carrelhas, A.A.D. (57208272722)",36173947400; 7004360885; 57356211300; 57208272722,Acoustic noise emission of air turbines for wave energy conversion: Assessment and analysis,2023,Renewable Energy,212,,,897,907,10,2,10.1016/j.renene.2023.05.078,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160732096&doi=10.1016%2fj.renene.2023.05.078&partnerID=40&md5=abfa1277b29842933dfceea45fc005fe,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85160732096
Morais F.J.F.; Carrelhas A.A.D.; Gato L.M.C.,"Morais, F.J.F. (58195797200); Carrelhas, A.A.D. (57208272722); Gato, L.M.C. (7004360885)",58195797200; 57208272722; 7004360885,"Biplane-rotor Wells turbine: The influence of solidity, presence of guide vanes and comparison with other configurations",2023,Energy,276,,127514,,,,6,10.1016/j.energy.2023.127514,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153509778&doi=10.1016%2fj.energy.2023.127514&partnerID=40&md5=e20db3d21d53e1cd46196a58041398f9,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85153509778
Carrelhas A.A.D.; Gato L.M.C.; Falcão A.F.O.; Henriques J.C.C.,"Carrelhas, A.A.D. (57208272722); Gato, L.M.C. (7004360885); Falcão, A.F.O. (23485073200); Henriques, J.C.C. (36173947400)",57208272722; 7004360885; 23485073200; 36173947400,Control law design for the air-turbine-generator set of a fully submerged 1.5 MW mWave prototype. Part 1: Numerical modelling,2022,Renewable Energy,181,,,1402,1418,16,8,10.1016/j.renene.2021.09.011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116867419&doi=10.1016%2fj.renene.2021.09.011&partnerID=40&md5=67e134e42ba7a20878f315caaa937e50,Article,Final,,Scopus,2-s2.0-85116867419
Gato L.M.C.; Henriques J.C.C.; Carrelhas A.A.D.,"Gato, L.M.C. (7004360885); Henriques, J.C.C. (36173947400); Carrelhas, A.A.D. (57208272722)",7004360885; 36173947400; 57208272722,Sea trial results of the biradial and Wells turbines at Mutriku wave power plant,2022,Energy Conversion and Management,268,,115936,,,,12,10.1016/j.enconman.2022.115936,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135420112&doi=10.1016%2fj.enconman.2022.115936&partnerID=40&md5=9fe826f2f2619280617e5fdd4894f331,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85135420112
Carrelhas A.A.D.; Gato L.M.C.; Falcão A.F.O.; Henriques J.C.C.,"Carrelhas, A.A.D. (57208272722); Gato, L.M.C. (7004360885); Falcão, A.F.O. (23485073200); Henriques, J.C.C. (36173947400)",57208272722; 7004360885; 23485073200; 36173947400,Control law design for the air-turbine-generator set of a fully submerged 1.5 MW mWave prototype. Part 2: Experimental validation,2021,Renewable Energy,171,,,1002,1013,11,10,10.1016/j.renene.2021.02.128,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102264196&doi=10.1016%2fj.renene.2021.02.128&partnerID=40&md5=5963f6995a98bb9605c1dc9120ca333c,Article,Final,,Scopus,2-s2.0-85102264196
Alves J.S.; Gato L.M.C.; Falcão A.F.O.; Henriques J.C.C.,"Alves, João S. (57226337827); Gato, Luís M.C. (7004360885); Falcão, António F.O. (23485073200); Henriques, João C.C. (36173947400)",57226337827; 7004360885; 23485073200; 36173947400,Experimental investigation on performance improvement by mid-plane guide-vanes in a biplane-rotor Wells turbine for wave energy conversion,2021,Renewable and Sustainable Energy Reviews,150,,111497,,,,15,10.1016/j.rser.2021.111497,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111208105&doi=10.1016%2fj.rser.2021.111497&partnerID=40&md5=e38b4d538af6e018360f6754ffa43bdc,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85111208105
Fox B.N.; Gomes R.P.F.; Gato L.M.C.,"Fox, Brooklyn N. (57223425273); Gomes, Rui P.F. (26030969000); Gato, Luís M.C. (7004360885)",57223425273; 26030969000; 7004360885,Analysis of oscillating-water-column wave energy converter configurations for integration into caisson breakwaters,2021,Applied Energy,295,,117023,,,,25,10.1016/j.apenergy.2021.117023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105879032&doi=10.1016%2fj.apenergy.2021.117023&partnerID=40&md5=d9ea3bddadc3efede1486c5d0350cf58,Article,Final,,Scopus,2-s2.0-85105879032
Oikonomou C.L.G.; Gomes R.P.F.; Gato L.M.C.,"Oikonomou, Charikleia L.G. (57212473842); Gomes, Rui P.F. (26030969000); Gato, Luís M.C. (7004360885)",57212473842; 26030969000; 7004360885,Unveiling the potential of using a spar-buoy oscillating-water-column wave energy converter for low-power stand-alone applications,2021,Applied Energy,292,,116835,,,,22,10.1016/j.apenergy.2021.116835,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103754362&doi=10.1016%2fj.apenergy.2021.116835&partnerID=40&md5=ee1b6bbb38fccf809a9ae21fc2578151,Article,Final,,Scopus,2-s2.0-85103754362
Howey B.; Collins K.M.; Hann M.; Iglesias G.; Gomes R.P.F.; Henriques J.C.C.; Gato L.M.C.; Greaves D.,"Howey, Ben (57197705559); Collins, Keri M. (52063145800); Hann, Martyn (55851687200); Iglesias, Gregorio (56261589800); Gomes, Rui P.F. (26030969000); Henriques, João C.C. (36173947400); Gato, Luís M.C. (7004360885); Greaves, Deborah (7102627638)",57197705559; 52063145800; 55851687200; 56261589800; 26030969000; 36173947400; 7004360885; 7102627638,Compact floating wave energy converter arrays: Inter-device mooring connectivity and performance,2021,Applied Ocean Research,115,,102820,,,,12,10.1016/j.apor.2021.102820,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111626508&doi=10.1016%2fj.apor.2021.102820&partnerID=40&md5=d16c30fa1f845ae06e9d28614889b0d7,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85111626508
Ribeiro e Silva S.; Gomes R.P.F.; Lopes B.S.; Carrelhas A.A.D.; Gato L.M.C.; Henriques J.C.C.; Gordo J.M.; Falcão A.F.O.,"Ribeiro e Silva, S. (8326956700); Gomes, R.P.F. (26030969000); Lopes, B.S. (57205304774); Carrelhas, A.A.D. (57208272722); Gato, L.M.C. (7004360885); Henriques, J.C.C. (36173947400); Gordo, J.M. (6603900980); Falcão, A.F.O. (23485073200)",8326956700; 26030969000; 57205304774; 57208272722; 7004360885; 36173947400; 6603900980; 23485073200,Model testing of a floating wave energy converter with an internal U-shaped oscillating water column,2021,Energy Conversion and Management,240,,114211,,,,8,10.1016/j.enconman.2021.114211,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110481593&doi=10.1016%2fj.enconman.2021.114211&partnerID=40&md5=5774ad4881ce03383b7dcbd23e26bb4c,Article,Final,,Scopus,2-s2.0-85110481593
