"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Source","EID"
"Said H.A.; García-Violini D.; Ringwood J.V.","Said, Hafiz Ahsan (9242687100); García-Violini, Demián (58250146400); Ringwood, John V. (6603725188)","9242687100; 58250146400; 6603725188","Wave-to-grid (W2G) control of a wave energy converter","2022","Energy Conversion and Management: X","14","","100190","","","","7","10.1016/j.ecmx.2022.100190","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124078256&doi=10.1016%2fj.ecmx.2022.100190&partnerID=40&md5=e996a79b3c6eff1c70738b32d7bfd2db","Article","Scopus","2-s2.0-85124078256"
"Huang Q.; Wang P.; Liu Y.; Li B.","Huang, Qitao (8981024400); Wang, Peng (57315928100); Liu, Yudong (57216289328); Li, Bowen (56129853800)","8981024400; 57315928100; 57216289328; 56129853800","Modeling and Simulation of Hydraulic Power Take-Off Based on AQWA","2022","Energies","15","11","3918","","","","1","10.3390/en15113918","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131700756&doi=10.3390%2fen15113918&partnerID=40&md5=2d4d06664a1e5b0d9d50f050be9e6650","Article","Scopus","2-s2.0-85131700756"
"Forbush D.D.; Bacelli G.; Coe R.G.","Forbush, Dominic D. (57189986661); Bacelli, Giorgio (26767545700); Coe, Ryan G. (55532590700)","57189986661; 26767545700; 55532590700","Self-Tuning, Load-Mitigating Feedback Control of a 3-DOF Point Absorber","2022","International Marine Energy Journal","5","1","","23","35","12","0","10.36688/imej.5.23-35","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134433499&doi=10.36688%2fimej.5.23-35&partnerID=40&md5=bc5a621df096a3de82ed5a893cb9c87a","Article","Scopus","2-s2.0-85134433499"
"Aristodemo F.; Filianoti P.; Tripepi G.; Gurnari L.; Ghaderi A.","Aristodemo, Francesco (15072519300); Filianoti, Pasquale (23392517700); Tripepi, Giuseppe (57195399727); Gurnari, Luana (57193830885); Ghaderi, Amir (57192693734)","15072519300; 23392517700; 57195399727; 57193830885; 57192693734","On the energy transmission by a submerged barrier interacting with a solitary wave","2022","Applied Ocean Research","122","","103123","","","","5","10.1016/j.apor.2022.103123","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126648203&doi=10.1016%2fj.apor.2022.103123&partnerID=40&md5=11f5ee8704ab49dd2ca16baf9f7b0d3b","Article","Scopus","2-s2.0-85126648203"
"Konispoliatis D.N.; Manolas D.I.; Voutsinas S.G.; Mavrakos S.A.","Konispoliatis, Dimitrios N. (55533545900); Manolas, Dimitrios I. (55356001900); Voutsinas, Spyros G. (6701588181); Mavrakos, Spyros A. (55890524100)","55533545900; 55356001900; 6701588181; 55890524100","Coupled Dynamic Response of an Offshore Multi-Purpose Floating Structure Suitable for Wind and Wave Energy Exploitation","2022","Frontiers in Energy Research","10","","920151","","","","2","10.3389/fenrg.2022.920151","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133904075&doi=10.3389%2ffenrg.2022.920151&partnerID=40&md5=0ecbdd30b2ad67631ce640984b04a0dd","Article","Scopus","2-s2.0-85133904075"
"Ciappi L.; Stebel M.; Smolka J.; Cappietti L.; Manfrida G.","Ciappi, L. (57202462168); Stebel, M. (57211074020); Smolka, J. (23053089000); Cappietti, L. (12784579600); Manfrida, G. (56779787100)","57202462168; 57211074020; 23053089000; 12784579600; 56779787100","Analytical and Computational Fluid Dynamics Models of Wells Turbines for Oscillating Water Column Systems","2022","Journal of Energy Resources Technology, Transactions of the ASME","144","5","050903","","","","8","10.1115/1.4052216","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127295512&doi=10.1115%2f1.4052216&partnerID=40&md5=2b8d0ee60b4c5468ed440b7960f593d1","Article","Scopus","2-s2.0-85127295512"
"Korde U.A.; McBeth M.S.","Korde, Umesh A. (7004283169); McBeth, Michael S. (55304735800)","7004283169; 55304735800","On using nonlinear wave interactions in multi-directional seas for energy conversion on the ocean floor","2022","Applied Ocean Research","124","","103193","","","","0","10.1016/j.apor.2022.103193","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131132340&doi=10.1016%2fj.apor.2022.103193&partnerID=40&md5=f8b8fe9f57cf9407442e98728d2d5ed3","Article","Scopus","2-s2.0-85131132340"
"Qian P.; Feng B.; Wen H.; Jiang X.; Ying Y.; Si Y.; Zhang D.","Qian, Peng (55951457100); Feng, Bo (57214030061); Wen, Huishen (57571778500); Jiang, Xi (57571906100); Ying, You (26637876800); Si, Yulin (57193714164); Zhang, Dahai (55717574200)","55951457100; 57214030061; 57571778500; 57571906100; 26637876800; 57193714164; 55717574200","Maximum power point tracking for triboelectric nanogenerator based wave energy converters","2022","Nano Energy","98","","107249","","","","6","10.1016/j.nanoen.2022.107249","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127990390&doi=10.1016%2fj.nanoen.2022.107249&partnerID=40&md5=9613614237b1a8a16574c2f1bf15cb89","Article","Scopus","2-s2.0-85127990390"
"Samb S.O.; Bernard N.; Benkhoris M.F.; Bui H.K.","Samb, Serigne Ousmane (57221264882); Bernard, Nicolas (7102385399); Benkhoris, Mohamed Fouad (6602913280); Bui, Huu Kien (55704988900)","57221264882; 7102385399; 6602913280; 55704988900","Design Optimization of a Direct‐Drive Electrically Excited Synchronous Generator for Tidal Wave Energy","2022","Energies","15","9","3174","","","","3","10.3390/en15093174","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129662248&doi=10.3390%2fen15093174&partnerID=40&md5=7c15d71e9abe24ee4d9003641a1dcee2","Article","Scopus","2-s2.0-85129662248"
"Yin Z.; Xiong J.; Wu F.; Zhang X.; Cui M.; Gao M.","Yin, Zegao (7401498766); Xiong, Jie (57545545000); Wu, Fei (57545160700); Zhang, Xuan (57546319700); Cui, Mengyao (57547856900); Gao, Min (57547468800)","7401498766; 57545545000; 57545160700; 57546319700; 57547856900; 57547468800","Investigating hydrodynamics characteristics of a top-hinged flap aeration device driven by regular waves","2022","Ocean Engineering","251","","110975","","","","2","10.1016/j.oceaneng.2022.110975","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126996005&doi=10.1016%2fj.oceaneng.2022.110975&partnerID=40&md5=6861042a88acf710b2c4bc593e474a49","Article","Scopus","2-s2.0-85126996005"
"Ergul E.U.; Ozbek T.","Ergul, Engin Ufuk (55904743500); Ozbek, Tayfun (57457627700)","55904743500; 57457627700","Wave-energy plant site and converter type selection using multi-criteria decision making","2022","Proceedings of Institution of Civil Engineers: Energy","175","2","","49","63","14","1","10.1680/jener.21.00087","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124849103&doi=10.1680%2fjener.21.00087&partnerID=40&md5=b9cf1b75d571b9d952b13987c33ae896","Article","Scopus","2-s2.0-85124849103"
