Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Sricharan, V.V.S., Chandrasekaran, S.","57219006526; 7102443413","Time-domain analysis of a bean-shaped multi-body floating wave energy converter with a hydraulic power take-off using WEC-Sim",2021,"Energy",223,"", 119985,,,,20,10.1016/j.energy.2021.119985,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100618876&partnerID=40&md5=843030d30ea3469dfda94f0e9354949c",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85100618876
"Coe, R.G., Bacelli, G., Forbush, D.","55532590700; 26767545700; 57189986661","A practical approach to wave energy modeling and control",2021,"Renewable and Sustainable Energy Reviews",142,"", 110791,,,,20,10.1016/j.rser.2021.110791,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101925991&partnerID=40&md5=d78a40eb6ffbcf9a50d86c26beb84965",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85101925991
"Cong, P., Teng, B., Bai, W., Ning, D., Liu, Y.","36909769400; 57205480285; 17134446000; 7005820185; 57221112927","Wave power absorption by an oscillating water column (OWC) device of annular cross-section in a combined wind-wave energy system",2021,"Applied Ocean Research",107,"", 102499,,,,20,10.1016/j.apor.2020.102499,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85098887813&partnerID=40&md5=d51367cea94ed6c49ce8cae7232345c8",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85098887813
"Li, L., Ruzzo, C., Collu, M., Gao, Y., Failla, G., Arena, F.","57196177668; 57003726200; 25924785400; 57195982395; 7004313410; 7102803521","Analysis of the coupled dynamic response of an offshore floating multi-purpose platform for the Blue Economy",2020,"Ocean Engineering",217,"", 107943,,,,20,10.1016/j.oceaneng.2020.107943,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85090195814&partnerID=40&md5=3701e88fe978e9bd7f7a508d94684dd6",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85090195814
"Wang, L., Lin, M., Tedeschi, E., Engström, J., Isberg, J.","56835260800; 57219534258; 16025394900; 25922429400; 6602117338","Improving electric power generation of a standalone wave energy converter via optimal electric load control",2020,"Energy",211,"", 118945,,,,20,10.1016/j.energy.2020.118945,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85093648104&partnerID=40&md5=96f5c41afc13d917d2da7629eace558f",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85093648104
"Kamranzad, B., Lin, P.","36925301400; 7403225251","Sustainability of wave energy resources in the South China Sea based on five decades of changing climate",2020,"Energy",210,"", 118604,,,,20,10.1016/j.energy.2020.118604,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85089820214&partnerID=40&md5=bda3a4ae15eafe25506b6109c8b26aa8",Article,Final,"",Scopus,2-s2.0-85089820214
"Pustina, L., Lugni, C., Bernardini, G., Serafini, J., Gennaretti, M.","57218094032; 55948828000; 35232425700; 18134636300; 6701446768","Control of power generated by a floating offshore wind turbine perturbed by sea waves",2020,"Renewable and Sustainable Energy Reviews",132,"", 109984,,,,20,10.1016/j.rser.2020.109984,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85087900261&partnerID=40&md5=4a6b9657788e54e544ca3b7016bd0f1f",Article,Final,"",Scopus,2-s2.0-85087900261
"Chen, L., Zhai, H., Wang, P., Jeng, D.-S., Zhang, Q., Wang, S., Duan, L., Liu, Y.","56564336700; 57210636999; 57210639117; 57200922584; 57260262900; 57202646714; 56188760900; 57191598397","Physical modeling of combined waves and current propagating around a partially embedded monopile in a porous seabed",2020,"Ocean Engineering",205,"", 107307,,,,20,10.1016/j.oceaneng.2020.107307,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85082692796&partnerID=40&md5=2bc8726bbdb7dddf058a1a9e11e1497d",Article,Final,"",Scopus,2-s2.0-85082692796
"Faraggiana, E., Whitlam, C., Chapman, J., Hillis, A., Roesner, J., Hann, M., Greaves, D., Yu, Y.-H., Ruehl, K., Masters, I., Foster, G., Stockman, G.","57209285293; 57214452888; 55690092100; 8520718000; 57219958449; 55851687200; 7102627638; 8651357200; 36683095500; 7006922942; 57214460086; 56517869200","Computational modelling and experimental tank testing of the multi float WaveSub under regular wave forcing",2020,"Renewable Energy",152,"",,892,909,,20,10.1016/j.renene.2019.12.146,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85078753783&partnerID=40&md5=1d3dd1a5bfd254cde6a715002117cc9d",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85078753783
"Liu, Z., Xu, C., Qu, N., Cui, Y., Kim, K.","56349270600; 57196343101; 56800218100; 55868472000; 57005636600","Overall performance evaluation of a model-scale OWC wave energy converter",2020,"Renewable Energy",149,"",,1325,1338,,20,10.1016/j.renene.2019.10.126,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85075329999&partnerID=40&md5=6a9f1def0a1b6dbadf19c6aa8277e7d8",Article,Final,"",Scopus,2-s2.0-85075329999
"Sharma, M., Kaligatla, R.B., Sahoo, T.","57214796515; 37081218200; 7004215371","Wave interaction with a submerged floating tunnel in the presence of a bottom mounted submerged porous breakwater",2020,"Applied Ocean Research",96,"", 102069,,,,20,10.1016/j.apor.2020.102069,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85079124786&partnerID=40&md5=27f4402e094d51eb8911d8b329858084",Article,Final,"",Scopus,2-s2.0-85079124786
"Kharati-Koopaee, M., Fathi-Kelestani, A.","55247414900; 57211119914","Assessment of oscillating water column performance: Influence of wave steepness at various chamber lengths and bottom slopes",2020,"Renewable Energy",147,"",,1595,1608,,20,10.1016/j.renene.2019.09.110,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072697415&partnerID=40&md5=115a4223c2bcb193d9907523119f4137",Article,Final,"",Scopus,2-s2.0-85072697415
"Gaebele, D.T., Magaña, M.E., Brekken, T.K.A., Sawodny, O.","57211621971; 7006184162; 16067825500; 6603314950","State space model of an array of oscillating water column wave energy converters with inter-body hydrodynamic coupling",2020,"Ocean Engineering",195,"", 106668,,,,20,10.1016/j.oceaneng.2019.106668,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85074666800&partnerID=40&md5=86c6f12a9d6830bc4a9247bc8b331631",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85074666800
"Gao, J., Ma, X., Dong, G., Zang, J., Zhou, X., Zhou, L.","55616975100; 7404549704; 55793639300; 13805368200; 57201615326; 55574214141","Topographic influences on transient harbor oscillations excited by N-waves",2019,"Ocean Engineering",192,"", 106548,,,,20,10.1016/j.oceaneng.2019.106548,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85073022561&partnerID=40&md5=130eb6c95c96e74d2f1f9c640a316cf1",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85073022561
"Wei, Z., Edge, B.L., Dalrymple, R.A., Hérault, A.","55807607000; 7004303970; 35584935000; 23986944000","Modeling of wave energy converters by GPUSPH and Project Chrono",2019,"Ocean Engineering",183,"",,332,349,,20,10.1016/j.oceaneng.2019.04.029,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85065725083&partnerID=40&md5=c533947358f049d1b1ad5db740e15f82",Article,Final,"",Scopus,2-s2.0-85065725083
"Dong, S., Gong, Y., Wang, Z., Incecik, A.","7402016848; 57208666411; 55256628300; 7003453599","Wind and wave energy resources assessment around the Yangtze River Delta",2019,"Ocean Engineering",182,"",,75,89,,20,10.1016/j.oceaneng.2019.04.030,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85065487626&partnerID=40&md5=ca3e5996598c313126eaf97a7f448b05",Article,Final,"",Scopus,2-s2.0-85065487626
"Zabihi, M., Mazaheri, S., Namin, M.M.","57194576103; 6508180063; 6506472361","Experimental hydrodynamic investigation of a fixed offshore Oscillating Water Column device",2019,"Applied Ocean Research",85,"",,20,33,,20,10.1016/j.apor.2019.01.036,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85060950279&partnerID=40&md5=e2b7b624b6518d21b26a5ceda19e584d",Article,Final,"",Scopus,2-s2.0-85060950279
"Balitsky, P., Fernandez, G.V., Stratigaki, V., Troch, P.","55799077300; 57196151491; 54894458900; 7005447740","Assessment of the power output of a two-array clustered WEC farm using a bem solver coupling and a wave-propagation model",2018,"Energies",11,"11", 2907,,,,20,10.3390/en11112907,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85057797910&partnerID=40&md5=44bb66a44060715ac0b60549b74e8342",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85057797910
"Göteman, M., McNatt, C., Giassi, M., Engström, J., Isberg, J.","36645791600; 24179370000; 56340709300; 25922429400; 6602117338","Arrays of point-absorbing wave energy converters in short-crested irregular waves",2018,"Energies",11,"4", en11040964,,,,20,10.3390/en11040964,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85054994617&partnerID=40&md5=84cc3a18a75f1158948238ba2be27f76",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85054994617
"Bharath, A., Nader, J.-R., Penesis, I., Macfarlane, G.","57150715100; 54893993700; 14069017800; 14834108300","Nonlinear hydrodynamic effects on a generic spherical wave energy converter",2018,"Renewable Energy",118,"",,56,70,,20,10.1016/j.renene.2017.10.078,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85033370640&partnerID=40&md5=64cc9be8171f7c26face31a2761c0142",Article,Final,"",Scopus,2-s2.0-85033370640
"Çelik, A., Altunkaynak, A.","56231720500; 35612650900","Experimental and analytical investigation on chamber water surface fluctuations and motion behaviours of water column type wave energy converter",2018,"Ocean Engineering",150,"",,209,220,,20,10.1016/j.oceaneng.2017.12.065,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85044674856&partnerID=40&md5=04aee078a273137ad40c38b98f8bee83",Article,Final,"",Scopus,2-s2.0-85044674856
"Hu, Q., Li, Y.","56421061300; 55974880400","Unsteady RANS simulations of wells turbine under transient flow conditions",2018,"Journal of Offshore Mechanics and Arctic Engineering",140,"1", 011901,,,,20,10.1115/1.4037696,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85030559280&partnerID=40&md5=7e3ebbd90a7a5a9596f40180ae266900",Article,Final,"",Scopus,2-s2.0-85030559280
"Bundhoo, Z.M.A.","57133856900","Renewable energy exploitation in the small island developing state of Mauritius: Current practice and future potential",2018,"Renewable and Sustainable Energy Reviews",82,"",,2029,2038,,20,10.1016/j.rser.2017.07.019,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85022057347&partnerID=40&md5=f85f4abc43b73464f0c2fa5978cf18f3",Review,Final,"",Scopus,2-s2.0-85022057347
"Verbrugghe, T., Stratigaki, V., Troch, P., Rabussier, R., Kortenhaus, A.","57105580200; 54894458900; 7005447740; 57197836899; 6603627770","A comparison study of a generic coupling methodology for modeling wake effects of wave energy converter arrays",2017,"Energies",10,"11", 1697,,,,20,10.3390/en10111697,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85035095408&partnerID=40&md5=7f8a48af1377eff995197963dac1bca7",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85035095408
"Beatty, S., Ferri, F., Bocking, B., Kofoed, J.P., Buckham, B.","23011741300; 55355655400; 56682084200; 7006769458; 6602528861","Power take-off simulation for scale model testing of wave energy converters",2017,"Energies",10,"7", 973,,,,20,10.3390/en10070973,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85044260501&partnerID=40&md5=2cc167e487387a997e422813879036cf",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85044260501
"Sierra, J.P., White, A., Mösso, C., Mestres, M.","7102319577; 57195997135; 6701693715; 6603899086","Assessment of the intra-annual and inter-annual variability of the wave energy resource in the Bay of Biscay (France)",2017,"Energy",141,"",,853,868,,20,10.1016/j.energy.2017.09.112,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85030788977&partnerID=40&md5=49a8bdd19927ff268cc84e7480ac1b0a",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85030788977
"Lopes de Almeida, J.P.P.G.","10044992000","REEFS: An artificial reef for wave energy harnessing and shore protection – A new concept towards multipurpose sustainable solutions",2017,"Renewable Energy",114,"",,817,829,,20,10.1016/j.renene.2017.07.076,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85026415213&partnerID=40&md5=77d55a0e2558a5c3b6b19a731102ce55",Article,Final,"",Scopus,2-s2.0-85026415213
"Gray, A., Dickens, B., Bruce, T., Ashton, I., Johanning, L.","57193826546; 57194765152; 7005744723; 8719483200; 13605483700","Reliability and O&amp;M sensitivity analysis as a consequence of site specific characteristics for wave energy converters",2017,"Ocean Engineering",141,"",,493,511,,20,10.1016/j.oceaneng.2017.06.043,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85022044982&partnerID=40&md5=88d4f741dd5b8bbde4c038fddfa9f72d",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85022044982
"Ramos, V., López, M., Taveira-Pinto, F., Rosa-Santos, P.","55620859800; 7404123882; 56423223800; 14067888200","Influence of the wave climate seasonality on the performance of a wave energy converter: A case study",2017,"Energy",135,"",,303,316,,20,10.1016/j.energy.2017.06.080,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85021405147&partnerID=40&md5=5af67e8405a70dd6ea348f47ab6bd126",Article,Final,"",Scopus,2-s2.0-85021405147
"Guillou, N.","35078635400","Modelling effects of tidal currents on waves at a tidal stream energy site",2017,"Renewable Energy",114,"",,180,190,,20,10.1016/j.renene.2016.12.031,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85009252498&partnerID=40&md5=833b4282ada25eaf1c77516f4447c993",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85009252498
"Ghasemi, A., Anbarsooz, M., Malvandi, A., Ghasemi, A., Hedayati, F.","55584791344; 36805545300; 55242120900; 58122849300; 55241838900","A nonlinear computational modeling of wave energy converters: A tethered point absorber and a bottom-hinged flap device",2017,"Renewable Energy",103,"",,774,785,,20,10.1016/j.renene.2016.11.011,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85006445977&partnerID=40&md5=68d6452c295eaccf86ea3ab94315046b",Article,Final,"",Scopus,2-s2.0-85006445977
"Liu, Y., Liu, X., Li, X.","55267744200; 55827692300; 57192111719","Numerical investigation of hydrogen detonation suppression with inert particle in pipelines",2016,"International Journal of Hydrogen Energy",41,"46",,21548,21563,,20,10.1016/j.ijhydene.2016.09.170,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84997820982&partnerID=40&md5=3f03e0e67f99bdfa68ebd3621e05544f",Article,Final,"",Scopus,2-s2.0-84997820982
"Yu, H.-F., Zhang, Y.-L., Zheng, S.-M.","57190577420; 55739875300; 55553935700","Numerical study on the performance of a wave energy converter with three hinged bodies",2016,"Renewable Energy",99,"",,1276,1286,,20,10.1016/j.renene.2016.08.023,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84982306210&partnerID=40&md5=d05c6abc7c591e1c700f9be6e8f07428",Article,Final,"",Scopus,2-s2.0-84982306210
"Zhu, H., Wang, L., Avital, E.J., Tang, H., Williams, J.J.R.","55626414800; 57188963611; 35588715400; 8709032000; 7409576728","Numerical simulation of interaction between internal solitary waves and submerged ridges",2016,"Applied Ocean Research",58,"",,118,134,,20,10.1016/j.apor.2016.03.017,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84964330400&partnerID=40&md5=27acf762df344b99e96eddb7e1f1515e",Article,Final,"",Scopus,2-s2.0-84964330400
"Saincher, S., Banerjee, J.","56451054400; 10244668200","Influence of wave breaking on the hydrodynamics of wave energy converters: A review",2016,"Renewable and Sustainable Energy Reviews",58,"",,704,717,,20,10.1016/j.rser.2015.12.301,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84954306671&partnerID=40&md5=4032e920142d3731592f0059f6d9a1a3",Review,Final,"",Scopus,2-s2.0-84954306671
"Sgobbi, A., Simões, S.G., Magagna, D., Nijs, W.","16053677700; 24472270000; 36154743400; 31967837000","Assessing the impacts of technology improvements on the deployment of marine energy in Europe with an energy system perspective",2016,"Renewable Energy",89,"",,515,525,,20,10.1016/j.renene.2015.11.076,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84951311069&partnerID=40&md5=f1045d95250367c173473e1ecdee7baf",Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-84951311069
"Liu, Q., Lewis, T., Zhang, Y., Sheng, W.","56918821200; 16219467700; 55739875300; 35220535800","Performance assessment of wave measurements of wave buoys",2015,"International Journal of Marine Energy",12,"",,63,76,,20,10.1016/j.ijome.2015.08.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84949485402&partnerID=40&md5=3f804f68060671d3429f391d2f5e394e",Article,Final,"",Scopus,2-s2.0-84949485402
"Samiksha, S.V., Polnikov, V.G., Vethamony, P., Rashmi, R., Pogarskii, F., Sudheesh, K.","55521295200; 7004314941; 6604018181; 37000346100; 57193082234; 15021322900","Verification of model wave heights with long-term moored buoy data: Application to wave field over the Indian Ocean",2015,"Ocean Engineering",104,"",,469,479,,20,10.1016/j.oceaneng.2015.05.020,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84931275677&partnerID=40&md5=5ee1e947cdebccb4c9cfd606ca0d4640",Article,Final,"",Scopus,2-s2.0-84931275677
"Nambiar, A.J., Forehand, D.I.M., Kramer, M.M., Hansen, R.H., Ingram, D.M.","35932292300; 36936698000; 55807003300; 38961541300; 25025786100","Effects of hydrodynamic interactions and control within a point absorber array on electrical output",2015,"International Journal of Marine Energy",9,"",,20,40,,20,10.1016/j.ijome.2014.11.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84920842273&partnerID=40&md5=9df85088e94e1e5c759fe2c104a8c398",Article,Final,"",Scopus,2-s2.0-84920842273
"Ambühl, S., Sterndorff, M., Sørensen, J.D.","56000956300; 6602670339; 7403200698","Extrapolation of extreme response for different mooring line systems of floating wave energy converters",2014,"International Journal of Marine Energy",7,"",,1,19,,20,10.1016/j.ijome.2014.09.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84908498867&partnerID=40&md5=e6c434cf95c6cd72dd79aca395b07cda",Article,Final,"",Scopus,2-s2.0-84908498867
"Hu, Z., Tang, W., Xue, H.","56229897900; 7403430847; 14520610200","A probability-based superposition model of freak wave simulation",2014,"Applied Ocean Research",47,"",,284,290,,20,10.1016/j.apor.2014.05.007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84904347932&partnerID=40&md5=37a77a12e25b2237d939de3d183cf272",Article,Final,"",Scopus,2-s2.0-84904347932
"Sharkey, F., Bannon, E., Conlon, M., Gaughan, K.","55884581900; 55884327400; 7005652230; 12143080400","Maximising value of electrical networks for wave energy converter arrays",2013,"International Journal of Marine Energy",1,"",,55,69,,20,10.1016/j.ijome.2013.06.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84885581318&partnerID=40&md5=cfbd32634753476c6e25e3dcd5c9b5a3",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84885581318
"Tom, N., Yeung, R.W.","53164954500; 7102833332","Performance enhancements and validations of a generic ocean-wave energy extractor",2013,"Journal of Offshore Mechanics and Arctic Engineering",135,"4",,1,10,,20,10.1115/1.4024150,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84969715053&partnerID=40&md5=2c4d45c602be03d5fd3853a91494752c",Article,Final,"",Scopus,2-s2.0-84969715053
"Guiberteau, K., Liu, Y., Lee, J., Kozman, T.","55359900200; 56499434600; 57133513700; 36901782600","Investigation of developing wave energy technology in the gulf of Mexico",2012,"Distributed Generation and Alternative Energy Journal",27,"4",,36,52,,20,10.1080/21563306.2012.10554221,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84866339180&partnerID=40&md5=d58ebffaaac555a276320d5dce0974ee",Article,Final,"",Scopus,2-s2.0-84866339180
"Oliveti, G., Arcuri, N., De Simone, M., Bruno, R.","6701322028; 6505762818; 23488406700; 56212080200","Experimental evaluations of the building shell radiant exchange in clear sky conditions",2012,"Solar Energy",86,"6",,1785,1795,,20,10.1016/j.solener.2012.03.009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84860583057&partnerID=40&md5=1c65f1b45e0d224f3bf8a9bf1407acfc",Article,Final,"",Scopus,2-s2.0-84860583057
"Savin, A., Svensson, O., Leijon, M.","57196950813; 36026016000; 7006634809","Azimuth-inclination angles and snatch load on a tight mooring system",2012,"Ocean Engineering",40,"",,40,49,,20,10.1016/j.oceaneng.2011.12.007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84855695529&partnerID=40&md5=a81ba7cb65de0737ceafaa05dabb7e88",Article,Final,"",Scopus,2-s2.0-84855695529
"Astolfi, D., Puletti, V.G.M., Grignani, G., Harmark, T., Orselli, M.","14826581500; 15763379600; 7006938659; 56179632900; 56175307700","Finite-size corrections for quantum strings on AdS4 × ℂℙ3",2011,"Journal of High Energy Physics",2011,"5", 128,,,,20,10.1007/JHEP05(2011)128,"https://www.scopus.com/inward/record.url?eid=2-s2.0-80053139193&partnerID=40&md5=6fd67b86ee389793fbae0c751dc8dba9",Article,Final,"All Open Access, Green",Scopus,2-s2.0-80053139193
"Yavuz, H.","16177021300","On control of a pitching and surging wave energy converter",2011,"International Journal of Green Energy",8,"5",,555,584,,20,10.1080/15435075.2011.576291,"https://www.scopus.com/inward/record.url?eid=2-s2.0-80051751307&partnerID=40&md5=3bba5772eaac0c1ed92d403a515c88f7",Article,Final,"",Scopus,2-s2.0-80051751307
"Babarit, A., Borgarino, B., Ferrant, P., Clément, A.","6505871520; 36491148100; 55899370900; 7102139422","Assessment of the influence of the distance between two wave energy converters on energy production",2010,"IET Renewable Power Generation",4,"6",,592,601,,20,10.1049/iet-rpg.2009.0190,"https://www.scopus.com/inward/record.url?eid=2-s2.0-78149419349&partnerID=40&md5=58a8591852370e7f24a7fc30af65e33d",Article,Final,"All Open Access, Green",Scopus,2-s2.0-78149419349
"De Falcão, A.F.O., Pereira, P.E.R., Henriques, J.C.C., Gato, L.M.C.","23485073200; 57206265078; 36173947400; 7004360885","Hydrodynamic simulation of a floating wave energy converter by a U-tube rig for power take-off testing",2010,"Ocean Engineering",37,"14-15",,1253,1260,,20,10.1016/j.oceaneng.2010.05.007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77956536200&partnerID=40&md5=65b7d21631bdc0b3afad492f8028fe79",Article,Final,"",Scopus,2-s2.0-77956536200
"Altunkaynak, A.","35612650900","Adaptive estimation of wave parameters by Geno-Kalman filtering",2008,"Ocean Engineering",35,"11-12",,1245,1251,,20,10.1016/j.oceaneng.2008.03.010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-46749112182&partnerID=40&md5=9a4d20cfa050cce2ae6e3a5a46a8baf7",Article,Final,"",Scopus,2-s2.0-46749112182
"Kobayashi, N., de los Santos, F.J., Kearney, P.G.","7404311385; 6701443361; 23569927500","Time-averaged probabilistic model for irregular wave runup on permeable slopes",2008,"Journal of Waterway, Port, Coastal and Ocean Engineering",134,"2",,88,96,,20,10.1061/(ASCE)0733-950X(2008)134:2(88),"https://www.scopus.com/inward/record.url?eid=2-s2.0-39549095106&partnerID=40&md5=cf76feacd79c34fdc9619b30a9936974",Article,Final,"",Scopus,2-s2.0-39549095106
"Takao, M., Fujioka, Y., Setoguchi, T.","25030738700; 8648169400; 7102564807","Effect of pitch-controlled guide vanes on the performance of a radial turbine for wave energy conversion",2005,"Ocean Engineering",32,"17-18",,2079,2087,,20,10.1016/j.oceaneng.2005.03.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-27244439369&partnerID=40&md5=57a8115ff88e3e097545066106e0c394",Article,Final,"",Scopus,2-s2.0-27244439369
"Thakker, A., Usmani, Z., Dhanasekaran, T.S.","7006793119; 8152875400; 6602538206","Effects of turbine damping on performance of an impulse turbine for wave energy conversion under different sea conditions using numerical simulation techniques",2004,"Renewable Energy",29,"14",,2133,2151,,20,10.1016/j.renene.2004.03.015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-3242698150&partnerID=40&md5=7193f1d768fb9e6e1aeeec8a9ba677d8",Article,Final,"",Scopus,2-s2.0-3242698150
"Sun, H.-H., Soares, C.G.","7404827510; 56978160800","Reliability-based structural design of ship-type FPSO units",2003,"Journal of Offshore Mechanics and Arctic Engineering",125,"2",,108,113,,20,10.1115/1.1554700,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0038546969&partnerID=40&md5=83408a7539a7f6dc8b795fea781e1c54",Article,Final,"",Scopus,2-s2.0-0038546969
"Hardy, T.A., McConochie, J.D., Mason, L.B.","7005890707; 6507248431; 7102841240","Modeling tropical cyclone wave population of the Great Barrier Reef",2003,"Journal of Waterway, Port, Coastal and Ocean Engineering",129,"3",,104,113,,20,10.1061/(ASCE)0733-950X(2003)129:3(104),"https://www.scopus.com/inward/record.url?eid=2-s2.0-0038353968&partnerID=40&md5=1b03c97d7d60ffdf186df642bde906d6",Article,Final,"",Scopus,2-s2.0-0038353968
"Giorgi, G., Sirigu, S., Bonfanti, M., Bracco, G., Mattiazzo, G.","57194196298; 57189897414; 57201721598; 57194222652; 6602883396","Fast nonlinear Froude–Krylov force calculation for prismatic floating platforms: a wave energy conversion application case",2021,"Journal of Ocean Engineering and Marine Energy",7,"4",,439,457,,19,10.1007/s40722-021-00212-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85112325401&partnerID=40&md5=15b0aac7263b2452e6bf27902345b87f",Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85112325401
"Bhattacharya, S., Pennock, S., Robertson, B., Hanif, S., Alam, M.J.E., Bhatnagar, D., Preziuso, D., O'Neil, R.","47761025000; 56572454100; 56252010800; 56602557300; 57199297970; 55694445900; 57214761341; 57214753104","Timing value of marine renewable energy resources for potential grid applications",2021,"Applied Energy",299,"", 117281,,,,19,10.1016/j.apenergy.2021.117281,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85108890895&partnerID=40&md5=0cc0fb027bdb7e867ece5b81f7a95ee1",Article,Final,"",Scopus,2-s2.0-85108890895
"Talaat, M., Elgarhy, A., Elkholy, M.H., Farahat, M.A.","24781500700; 57222400612; 57210792699; 57215457563","Integration of fuel cells into an off-grid hybrid system using wave and solar energy",2021,"International Journal of Electrical Power and Energy Systems",130,"", 106939,,,,19,10.1016/j.ijepes.2021.106939,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102634834&partnerID=40&md5=26a481e8b34c3f9227ca311fd7f0577b",Article,Final,"",Scopus,2-s2.0-85102634834
"Wang, C., Zhang, Y.","57200068835; 55739875300","Hydrodynamic performance of an offshore Oscillating Water Column device mounted over an immersed horizontal plate: A numerical study",2021,"Energy",222,"", 119964,,,,19,10.1016/j.energy.2021.119964,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100419156&partnerID=40&md5=69a8068bbe2962e1fb5fb1c66a07b1ee",Article,Final,"",Scopus,2-s2.0-85100419156
"Faedo, N., Pena-Sanchez, Y., Ringwood, J.V.","57202423440; 57200690246; 6603725188","Receding-horizon energy-maximising optimal control of wave energy systems based on moments",2021,"IEEE Transactions on Sustainable Energy",12,"1", 9108631,378,386,,19,10.1109/TSTE.2020.3000013,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85098268118&partnerID=40&md5=4ec6d4708021b4752685cac3af7ac0d9",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85098268118
