Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Vicinanza, D., Lauro, E.D., Contestabile, P., Gisonni, C., Lara, J.L., Losada, I.J.","6507679469; 57208759767; 36772880900; 6603324444; 7102825388; 7004024018","Review of Innovative Harbor Breakwaters for Wave-Energy Conversion",2019,"Journal of Waterway, Port, Coastal and Ocean Engineering",145,"4", 03119001,,,,66,10.1061/(ASCE)WW.1943-5460.0000519,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85065727592&partnerID=40&md5=89cf37a8141248ec7951846a93ec7dbc",Review,Final,"",Scopus,2-s2.0-85065727592
"Ghosh, S., Chakraborty, T., Saha, S., Majumder, M., Pal, M.","56697705000; 57187793600; 57187567000; 23976731200; 55383597200","Development of the location suitability index for wave energy production by ANN and MCDM techniques",2016,"Renewable and Sustainable Energy Reviews",59,"",,1017,1028,,66,10.1016/j.rser.2015.12.275,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84961319845&partnerID=40&md5=24cc2eaafa9c8d41350ba8001b1a9b7a",Review,Final,"",Scopus,2-s2.0-84961319845
"Tarrant, K., Meskell, C.","56426984900; 55948639200","Investigation on parametrically excited motions of point absorbers in regular waves",2016,"Ocean Engineering",111,"",,67,81,,66,10.1016/j.oceaneng.2015.10.041,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84947475085&partnerID=40&md5=7514778d3c1ce587236be71ce805bb4b",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84947475085
"Sanil Kumar, V., Anoop, T.R.","7404635023; 56052542500","Wave energy resource assessment for the Indian shelf seas",2015,"Renewable Energy",76,"",,212,219,,66,10.1016/j.renene.2014.11.034,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84912105808&partnerID=40&md5=193bc83a00c28c6c5ab456c30c0f42db",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84912105808
"Hann, M., Greaves, D., Raby, A.","55851687200; 7102627638; 57193492325","Snatch loading of a single taut moored floating wave energy converter due to focussed wave groups",2015,"Ocean Engineering",96,"",,258,271,,66,10.1016/j.oceaneng.2014.11.011,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84921517692&partnerID=40&md5=995c227748398ffaeef62aab70f9af5f",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-84921517692
"Contestabile, P., Ferrante, V., Vicinanza, D.","36772880900; 23027257300; 6507679469","Wave energy resource along the coast of Santa Catarina (Brazil)",2015,"Energies",8,"12",,14219,14243,,66,10.3390/en81212423,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84952362072&partnerID=40&md5=e87690f23681856cb88012406975014d",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84952362072
"Malara, G., Arena, F.","26633961400; 7102803521","Analytical modelling of an U-Oscillating Water Column and performance in random waves",2013,"Renewable Energy",60,"",,116,126,,66,10.1016/j.renene.2013.04.016,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84878424550&partnerID=40&md5=62741d3c04e51c423c15997be4d66faf",Article,Final,"",Scopus,2-s2.0-84878424550
"Falcão, A.F.O., Gato, L.M.C., Nunes, E.P.A.S.","23485073200; 7004360885; 55318950100","A novel radial self-rectifying air turbine for use in wave energy converters. Part 2. Results from model testing",2013,"Renewable Energy",53,"",,159,164,,65,10.1016/j.renene.2012.11.018,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84871184440&partnerID=40&md5=348e84ae0ce375b6d44c1d5b0913e92b",Article,Final,"",Scopus,2-s2.0-84871184440
"Nayak, S., Bhaskaran, P.K., Venkatesan, R., Dasgupta, S.","57201836444; 56951641700; 56105858500; 26421614600","Modulation of local wind-waves at Kalpakkam from remote forcing effects of Southern Ocean swells",2013,"Ocean Engineering",64,"",,23,35,,65,10.1016/j.oceaneng.2013.02.010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84875167292&partnerID=40&md5=cd9d7ca51f4013a83fcce0f14274ca52",Article,Final,"",Scopus,2-s2.0-84875167292
"Flocard, F., Finnigan, T.D.","35799438700; 55950343200","Increasing power capture of a wave energy device by inertia adjustment",2012,"Applied Ocean Research",34,"",,126,134,,65,10.1016/j.apor.2011.09.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84855612113&partnerID=40&md5=e9316c6cf5e04bdc4857e88439770cc3",Article,Final,"",Scopus,2-s2.0-84855612113
